station,event_id,pattern
st012,141,cycle_spike
st012,181,pattern_mismatch
st012,191,nok_without_reason
st012,194,nok_without_reason
st012,292,cycle_spike
st012,318,ok_but_out_of_spec
st012,446,pattern_mismatch
st012,485,cycle_spike
st012,504,missing_vin
st012,535,pattern_mismatch
st012,559,cycle_spike
st012,625,duplicate_vin
st012,657,cycle_spike
st012,736,pattern_mismatch
st012,831,missing_vin
st012,850,duplicate_vin
st012,921,nok_without_reason
st012,1213,fast_cycle
st012,1298,pattern_mismatch
st012,1498,pattern_mismatch
st012,1641,nok_without_reason
st012,1719,nok_without_reason
st012,1916,nok_without_reason
st012,1961,duplicate_vin
st012,2029,pattern_mismatch
st012,2054,cycle_spike
st012,2134,cycle_spike
st012,2216,missing_vin
st012,2229,fast_cycle
st012,2271,stuck_sensor
st012,2272,stuck_sensor
st012,2273,stuck_sensor
st012,2274,stuck_sensor
st012,2275,stuck_sensor
st012,2276,stuck_sensor
st012,2312,pattern_mismatch
st012,2321,pattern_mismatch
st012,2545,fast_cycle
st012,2551,fast_cycle
st012,2634,cycle_spike
st012,2667,fast_cycle
st012,2788,cycle_spike
st012,2849,cycle_spike
st012,2920,pattern_mismatch
st012,3185,pattern_mismatch
st012,3196,ok_but_out_of_spec
st012,3258,ok_but_out_of_spec
st012,3280,duplicate_vin
st012,3354,fast_cycle
st012,3355,fault_without_code
st012,3484,missing_measurement
st012,3531,duplicate_vin
st012,3532,missing_measurement
st012,3732,pattern_mismatch
st012,3737,missing_measurement
st012,3773,duplicate_vin
st012,3778,cycle_spike
st012,3787,missing_measurement
st012,3886,pattern_mismatch
st012,3889,cycle_spike
st012,3918,ok_but_out_of_spec
st012,3921,ok_but_out_of_spec
st012,4114,cycle_spike
st012,4446,cycle_spike
st012,4456,ok_but_out_of_spec
st012,4486,duplicate_vin
st012,4640,missing_measurement
st012,4670,cycle_spike
st012,4689,missing_vin
st012,4922,drift
st012,4923,drift
st012,4924,drift
st012,4925,drift
st012,4926,drift
st012,4927,drift
st012,4928,drift
st012,4929,drift
st012,4930,drift
st012,4931,drift
st012,4932,drift
st012,4933,drift
st012,4934,drift
st012,4935,drift
st012,4936,drift
st012,4937,drift
st012,4938,drift
st012,4939,drift
st012,4940,drift
st012,4941,drift
st012,4942,drift
st012,4943,drift
st012,4944,drift
st012,4945,drift
st012,4946,drift
st012,4947,drift
st012,4948,drift
st012,4949,drift
st012,4950,drift
st012,4951,drift
st012,4952,drift
st012,4953,drift
st012,4954,drift
st012,4955,drift
st012,4956,drift
st012,4957,drift
st012,4958,drift
st012,4959,drift
st012,4960,drift
st012,4961,drift
st012,4962,drift
st012,4963,drift
st012,4964,drift
st012,4965,drift
st012,4966,drift
st012,4967,drift
st012,4968,drift
st012,4969,drift
st012,4970,drift
st012,4971,drift
st012,4972,drift
st012,4973,drift
st012,4974,drift
st012,4975,drift
st012,4976,drift
st012,4977,drift
st012,4978,drift
st012,4979,drift
st012,4980,drift
st012,4981,drift
st012,4982,drift
st012,4983,drift
st012,4984,drift
st012,4985,drift
st012,4986,drift
st012,4987,drift
st012,4990,drift
st012,4991,drift
st012,4992,drift
st012,4993,drift
st012,4994,drift
st012,4995,drift
st012,4996,drift
st012,4997,drift
st012,4998,drift
st012,4999,drift
st012,5000,drift
st012,5001,drift
st012,5002,drift
st012,5003,drift
st012,5004,drift
st012,5005,drift
st012,5006,drift
st012,5007,drift
st012,5008,drift
st012,5009,drift
st012,5010,drift
st012,5011,drift
st012,5012,drift
st012,5013,drift
st012,5014,drift
st012,5015,drift
st012,5016,drift
st012,5017,drift
st012,5018,drift
st012,5019,drift
st012,5020,drift
st012,5021,drift
st012,5022,drift
st012,5023,drift
st012,5024,drift
st012,5025,drift
st012,5026,drift
st012,5027,drift
st012,5028,drift
st012,5029,drift
st012,5030,drift
st012,5031,drift
st012,5032,drift
st012,5033,drift
st012,5034,drift
st012,5035,drift
st012,5036,drift
st012,5037,drift
st012,5038,drift
st012,5039,drift
st012,5040,drift
st012,5041,drift
st012,5042,drift
st012,5043,drift
st012,5044,drift
st012,5045,drift
st012,5046,drift
st012,5047,drift
st012,5095,fast_cycle
st012,5161,cycle_spike
st012,5199,fault_without_code
st012,5212,pattern_mismatch
st012,5316,pattern_mismatch
st012,5351,fast_cycle
st012,5374,nok_without_reason
st012,5448,ok_but_out_of_spec
st012,5604,nok_without_reason
st012,5607,cycle_spike
st012,5793,cycle_spike
st012,5836,missing_measurement
st012,5837,fast_cycle
st012,5861,pattern_mismatch
st012,5898,ok_but_out_of_spec
st012,5924,pattern_mismatch
st012,6078,ok_but_out_of_spec
st012,6172,ok_but_out_of_spec
st012,6244,fast_cycle
st012,6295,ok_but_out_of_spec
st012,6327,missing_measurement
st012,6365,pattern_mismatch
st012,6412,missing_measurement
st012,6428,ok_but_out_of_spec
st012,6552,pattern_mismatch
st012,6553,fast_cycle
st012,6599,cycle_spike
st012,6605,fast_cycle
st012,6609,pattern_mismatch
st012,6640,missing_vin
st012,6688,fast_cycle
st012,6773,missing_measurement
st012,6804,cycle_spike
st012,6820,fast_cycle
st012,7062,missing_vin
st012,7192,missing_vin
st012,7302,pattern_mismatch
st012,7305,nok_without_reason
st012,7327,fast_cycle
st012,7346,pattern_mismatch
st012,7383,fast_cycle
st012,7417,nok_without_reason
st012,7696,duplicate_vin
st012,7706,fault_without_code
st012,7748,cycle_spike
st012,7802,ok_but_out_of_spec
st012,7820,stuck_sensor
st012,7821,stuck_sensor
st012,7822,stuck_sensor
st012,7823,stuck_sensor
st012,7840,ok_but_out_of_spec
st012,8023,nok_without_reason
st012,8034,fast_cycle
st012,8184,missing_vin
st012,8286,missing_vin
st012,8310,nok_without_reason
st012,8380,fast_cycle
st012,8468,nok_without_reason
